-1142.24030475 -278865.9121402372
-1142.24030475 -135128.4465623654
-804.086064768 -143604.51158884767
-804.086064768 -88112.03494750756
-804.086064768 -79346.50807538092
-698.612074834 -74950.82304472508
-580.260100797 -132365.7678336918
-422.471728074 -119758.94921702368
-422.471728074 -93163.87042628229
-422.471728074 -76711.6469799601
-422.471728074 -58474.04097317399
-422.471728074 -109310.91618267375
-422.471728074 -68957.11979526933
-422.471728074 -63083.55856306871
-422.471728074 -62748.1749335314
